tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,player1_id,player1_seed,player1_entry,player1_name,player1_hand,player1_ht,player1_ioc,player1_age,player1_rank,player1_rank_points,player2_id,player2_seed,player2_entry,player2_name,player2_hand,player2_ht,player2_ioc,player2_age,player2_rank,player2_rank_points,best_of,round,winner
2017-M020,Brisbane,Hard,32,A,20170102,271,106415,,Q,Yoshihito Nishioka,L,170.0,JPN,21.2,100.0,604.0,104678,,,Viktor Troicki,R,193.0,SRB,30.8,29.0,1385.0,3,R32,2
2017-M020,Brisbane,Hard,32,A,20170102,272,124014,,Q,Ernesto Escobedo,R,185.0,USA,20.4,141.0,443.0,106378,,,Kyle Edmund,R,188.0,GBR,21.9,45.0,1001.0,3,R32,2
2017-M020,Brisbane,Hard,32,A,20170102,273,106298,6.0,,Lucas Pouille,R,185.0,FRA,22.8,15.0,2156.0,104468,,,Gilles Simon,R,183.0,FRA,32.0,25.0,1585.0,3,R32,1
2017-M020,Brisbane,Hard,32,A,20170102,275,104180,,,Gilles Muller,L,193.0,LUX,33.6,34.0,1255.0,111577,,Q,Jared Donaldson,R,188.0,USA,20.2,105.0,570.0,3,R32,2
2017-M020,Brisbane,Hard,32,A,20170102,276,111200,,WC,Elias Ymer,R,183.0,SWE,20.7,160.0,372.0,111442,,WC,Jordan Thompson,R,183.0,AUS,22.7,79.0,689.0,3,R32,2
2017-M020,Brisbane,Hard,32,A,20170102,277,103970,8.0,,David Ferrer,R,175.0,ESP,34.7,21.0,1785.0,106071,,,Bernard Tomic,R,193.0,AUS,24.1,26.0,1465.0,3,R32,1
2017-M020,Brisbane,Hard,32,A,20170102,278,105777,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,17.0,2035.0,105449,,,Steve Johnson,R,188.0,USA,27.0,33.0,1320.0,3,R32,1
2017-M020,Brisbane,Hard,32,A,20170102,279,103917,,,Nicolas Mahut,R,190.0,FRA,34.9,39.0,1102.0,103565,,,Stephane Robert,R,185.0,FRA,36.6,54.0,854.0,3,R32,1
2017-M020,Brisbane,Hard,32,A,20170102,280,105032,,WC,Sam Groth,R,193.0,AUS,29.2,180.0,320.0,105732,,,Pierre Hugues Herbert,R,188.0,FRA,25.7,78.0,698.0,3,R32,1
2017-M020,Brisbane,Hard,32,A,20170102,282,105238,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,62.0,760.0,104745,5.0,,Rafael Nadal,L,185.0,ESP,30.5,9.0,3300.0,3,R32,2
2017-M020,Brisbane,Hard,32,A,20170102,283,104999,,,Mischa Zverev,L,190.0,GER,29.3,51.0,874.0,200282,,Q,Alex De Minaur,R,183.0,AUS,17.8,351.0,132.0,3,R32,1
2017-M020,Brisbane,Hard,32,A,20170102,284,105023,,,Sam Querrey,R,198.0,USA,29.2,31.0,1355.0,106043,,,Diego Schwartzman,R,170.0,ARG,24.3,52.0,864.0,3,R32,2
2017-M020,Brisbane,Hard,32,A,20170102,286,104527,2.0,,Stan Wawrinka,R,183.0,SUI,31.7,4.0,5315.0,104678,,,Viktor Troicki,R,193.0,SRB,30.8,29.0,1385.0,3,R16,1
2017-M020,Brisbane,Hard,32,A,20170102,287,106298,6.0,,Lucas Pouille,R,185.0,FRA,22.8,15.0,2156.0,106378,,,Kyle Edmund,R,188.0,GBR,21.9,45.0,1001.0,3,R16,2
2017-M020,Brisbane,Hard,32,A,20170102,288,111577,,Q,Jared Donaldson,R,188.0,USA,20.2,105.0,570.0,105453,3.0,,Kei Nishikori,R,178.0,JPN,27.0,5.0,4905.0,3,R16,2
2017-M020,Brisbane,Hard,32,A,20170102,289,103970,8.0,,David Ferrer,R,175.0,ESP,34.7,21.0,1785.0,111442,,WC,Jordan Thompson,R,183.0,AUS,22.7,79.0,689.0,3,R16,2
2017-M020,Brisbane,Hard,32,A,20170102,290,105777,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,17.0,2035.0,103917,,,Nicolas Mahut,R,190.0,FRA,34.9,39.0,1102.0,3,R16,1
2017-M020,Brisbane,Hard,32,A,20170102,291,106233,4.0,,Dominic Thiem,R,185.0,AUT,23.3,8.0,3415.0,105032,,WC,Sam Groth,R,193.0,AUS,29.2,180.0,320.0,3,R16,1
2017-M020,Brisbane,Hard,32,A,20170102,292,104999,,,Mischa Zverev,L,190.0,GER,29.3,51.0,874.0,104745,5.0,,Rafael Nadal,L,185.0,ESP,30.5,9.0,3300.0,3,R16,2
2017-M020,Brisbane,Hard,32,A,20170102,293,106043,,,Diego Schwartzman,R,170.0,ARG,24.3,52.0,864.0,105683,1.0,,Milos Raonic,R,196.0,CAN,26.0,3.0,5450.0,3,R16,2
2017-M020,Brisbane,Hard,32,A,20170102,294,106378,,,Kyle Edmund,R,188.0,GBR,21.9,45.0,1001.0,104527,2.0,,Stan Wawrinka,R,183.0,SUI,31.7,4.0,5315.0,3,QF,2
2017-M020,Brisbane,Hard,32,A,20170102,295,105453,3.0,,Kei Nishikori,R,178.0,JPN,27.0,5.0,4905.0,111442,,WC,Jordan Thompson,R,183.0,AUS,22.7,79.0,689.0,3,QF,1
2017-M020,Brisbane,Hard,32,A,20170102,296,105777,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,17.0,2035.0,106233,4.0,,Dominic Thiem,R,185.0,AUT,23.3,8.0,3415.0,3,QF,1
2017-M020,Brisbane,Hard,32,A,20170102,297,104745,5.0,,Rafael Nadal,L,185.0,ESP,30.5,9.0,3300.0,105683,1.0,,Milos Raonic,R,196.0,CAN,26.0,3.0,5450.0,3,QF,2
2017-M020,Brisbane,Hard,32,A,20170102,298,104527,2.0,,Stan Wawrinka,R,183.0,SUI,31.7,4.0,5315.0,105453,3.0,,Kei Nishikori,R,178.0,JPN,27.0,5.0,4905.0,3,SF,2
2017-M020,Brisbane,Hard,32,A,20170102,299,105777,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,17.0,2035.0,105683,1.0,,Milos Raonic,R,196.0,CAN,26.0,3.0,5450.0,3,SF,1
2017-M020,Brisbane,Hard,32,A,20170102,300,105777,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,17.0,2035.0,105453,3.0,,Kei Nishikori,R,178.0,JPN,27.0,5.0,4905.0,3,F,1
2017-0891,Chennai,Hard,32,A,20170102,271,105583,,,Dusan Lajovic,R,180.0,SRB,26.5,93.0,627.0,104297,,,Rogerio Dutra Silva,R,178.0,BRA,32.9,98.0,613.0,3,R32,2
2017-0891,Chennai,Hard,32,A,20170102,272,134770,,WC,Casper Ruud,R,183.0,NOR,18.0,225.0,231.0,105952,,,Renzo Olivo,R,180.0,ARG,24.8,83.0,670.0,3,R32,2
2017-0891,Chennai,Hard,32,A,20170102,273,104022,7.0,,Mikhail Youzhny,R,183.0,RUS,34.5,57.0,826.0,105031,,WC,Saketh Myneni,R,193.0,IND,29.2,192.0,287.0,3,R32,1
2017-0891,Chennai,Hard,32,A,20170102,275,105379,,,Aljaz Bedene,R,181.0,SLO,27.4,101.0,592.0,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,33.5,70.0,725.0,3,R32,1
2017-0891,Chennai,Hard,32,A,20170102,276,106368,,WC,Ramkumar Ramanathan,R,188.0,IND,22.1,227.0,231.0,106026,,Q,Yuki Bhambri,R,183.0,IND,24.4,474.0,83.0,3,R32,2
2017-0891,Chennai,Hard,32,A,20170102,277,105332,5.0,,Benoit Paire,R,196.0,FRA,27.6,47.0,960.0,104505,,,Konstantin Kravchuk,R,190.0,RUS,31.8,85.0,660.0,3,R32,1
2017-0891,Chennai,Hard,32,A,20170102,278,111202,,Q,Hyeon Chung,R,188.0,KOR,20.6,104.0,571.0,106432,6.0,,Borna Coric,R,188.0,CRO,20.1,48.0,945.0,3,R32,1
2017-0891,Chennai,Hard,32,A,20170102,279,106000,,,Damir Dzumhur,R,172.0,BIH,24.6,77.0,699.0,104534,,,Dudi Sela,R,175.0,ISR,31.7,96.0,616.0,3,R32,2
2017-0891,Chennai,Hard,32,A,20170102,280,104327,,,Steve Darcis,R,178.0,BEL,32.8,86.0,658.0,105254,,Q,Nikola Mektic,R,183.0,CRO,28.0,331.0,144.0,3,R32,1
2017-0891,Chennai,Hard,32,A,20170102,282,104229,8.0,,Yen Hsun Lu,R,180.0,TPE,33.3,64.0,754.0,105430,,,Radu Albot,R,175.0,MDA,27.1,97.0,614.0,3,R32,1
2017-0891,Chennai,Hard,32,A,20170102,283,106421,,,Daniil Medvedev,R,198.0,RUS,20.8,99.0,611.0,106329,,,Thiago Monteiro,L,183.0,BRA,22.5,82.0,674.0,3,R32,1
2017-0891,Chennai,Hard,32,A,20170102,284,105671,,,Gastao Elias,R,178.0,POR,26.1,81.0,675.0,106075,,Q,Jozef Kovalik,R,183.0,SVK,24.1,117.0,501.0,3,R32,2
2017-0891,Chennai,Hard,32,A,20170102,286,104297,,,Rogerio Dutra Silva,R,178.0,BRA,32.9,98.0,613.0,105138,2.0,,Roberto Bautista Agut,R,183.0,ESP,28.7,14.0,2350.0,3,R16,2
2017-0891,Chennai,Hard,32,A,20170102,287,104022,7.0,,Mikhail Youzhny,R,183.0,RUS,34.5,57.0,826.0,105952,,,Renzo Olivo,R,180.0,ARG,24.8,83.0,670.0,3,R16,1
2017-0891,Chennai,Hard,32,A,20170102,288,105379,,,Aljaz Bedene,R,181.0,SLO,27.4,101.0,592.0,105373,4.0,,Martin Klizan,L,190.0,SVK,27.4,35.0,1230.0,3,R16,1
2017-0891,Chennai,Hard,32,A,20170102,289,106026,,Q,Yuki Bhambri,R,183.0,IND,24.4,474.0,83.0,105332,5.0,,Benoit Paire,R,196.0,FRA,27.6,47.0,960.0,3,R16,2
2017-0891,Chennai,Hard,32,A,20170102,290,111202,,Q,Hyeon Chung,R,188.0,KOR,20.6,104.0,571.0,104534,,,Dudi Sela,R,175.0,ISR,31.7,96.0,616.0,3,R16,2
2017-0891,Chennai,Hard,32,A,20170102,291,104327,,,Steve Darcis,R,178.0,BEL,32.8,86.0,658.0,105077,3.0,,Albert Ramos,L,188.0,ESP,28.9,27.0,1435.0,3,R16,2
2017-0891,Chennai,Hard,32,A,20170102,292,104229,8.0,,Yen Hsun Lu,R,180.0,TPE,33.3,64.0,754.0,106421,,,Daniil Medvedev,R,198.0,RUS,20.8,99.0,611.0,3,R16,2
2017-0891,Chennai,Hard,32,A,20170102,293,106075,,Q,Jozef Kovalik,R,183.0,SVK,24.1,117.0,501.0,105227,1.0,,Marin Cilic,R,198.0,CRO,28.2,6.0,3650.0,3,R16,1
2017-0891,Chennai,Hard,32,A,20170102,294,105138,2.0,,Roberto Bautista Agut,R,183.0,ESP,28.7,14.0,2350.0,104022,7.0,,Mikhail Youzhny,R,183.0,RUS,34.5,57.0,826.0,3,QF,1
2017-0891,Chennai,Hard,32,A,20170102,295,105379,,,Aljaz Bedene,R,181.0,SLO,27.4,101.0,592.0,105332,5.0,,Benoit Paire,R,196.0,FRA,27.6,47.0,960.0,3,QF,2
2017-0891,Chennai,Hard,32,A,20170102,296,104534,,,Dudi Sela,R,175.0,ISR,31.7,96.0,616.0,105077,3.0,,Albert Ramos,L,188.0,ESP,28.9,27.0,1435.0,3,QF,1
2017-0891,Chennai,Hard,32,A,20170102,297,106075,,Q,Jozef Kovalik,R,183.0,SVK,24.1,117.0,501.0,106421,,,Daniil Medvedev,R,198.0,RUS,20.8,99.0,611.0,3,QF,2
2017-0891,Chennai,Hard,32,A,20170102,298,105138,2.0,,Roberto Bautista Agut,R,183.0,ESP,28.7,14.0,2350.0,105332,5.0,,Benoit Paire,R,196.0,FRA,27.6,47.0,960.0,3,SF,1
2017-0891,Chennai,Hard,32,A,20170102,299,106421,,,Daniil Medvedev,R,198.0,RUS,20.8,99.0,611.0,104534,,,Dudi Sela,R,175.0,ISR,31.7,96.0,616.0,3,SF,1
2017-0891,Chennai,Hard,32,A,20170102,300,106421,,,Daniil Medvedev,R,198.0,RUS,20.8,99.0,611.0,105138,2.0,,Roberto Bautista Agut,R,183.0,ESP,28.7,14.0,2350.0,3,F,2
2017-0451,Doha,Hard,32,A,20170102,270,104925,2.0,,Novak Djokovic,R,188.0,SRB,29.6,2.0,11780.0,105526,,,Jan Lennard Struff,R,193.0,GER,26.6,63.0,758.0,3,R32,1
2017-0451,Doha,Hard,32,A,20170102,271,104252,,,Florian Mayer,R,190.0,GER,33.2,50.0,903.0,104547,,,Horacio Zeballos,L,188.0,ARG,31.6,71.0,722.0,3,R32,2
2017-0451,Doha,Hard,32,A,20170102,272,105633,,Q,Mohamed Safwat,R,183.0,EGY,26.2,199.0,278.0,105963,,WC,Arthur De Greef,R,183.0,BEL,24.7,134.0,456.0,3,R32,2
2017-0451,Doha,Hard,32,A,20170102,273,103285,,Q,Radek Stepanek,R,185.0,CZE,38.0,107.0,558.0,104571,8.0,,Marcos Baghdatis,R,183.0,CYP,31.5,36.0,1140.0,3,R32,1
2017-0451,Doha,Hard,32,A,20170102,274,105676,4.0,,David Goffin,R,180.0,BEL,26.0,11.0,2750.0,104898,,,Robin Haase,R,190.0,NED,29.7,59.0,795.0,3,R32,1
2017-0451,Doha,Hard,32,A,20170102,275,105577,,Q,Vasek Pospisil,R,193.0,CAN,26.5,133.0,456.0,104269,,,Fernando Verdasco,L,188.0,ESP,33.1,42.0,1035.0,3,R32,2
2017-0451,Doha,Hard,32,A,20170102,276,111575,,,Karen Khachanov,R,198.0,RUS,20.6,53.0,863.0,122570,,WC,Mubarak Shannan Zayid,U,,QAT,21.7,1277.0,5.0,3,R32,1
2017-0451,Doha,Hard,32,A,20170102,277,105011,,,Illya Marchenko,R,185.0,UKR,29.3,74.0,705.0,103333,6.0,,Ivo Karlovic,R,208.0,CRO,37.8,20.0,1795.0,3,R32,2
2017-0451,Doha,Hard,32,A,20170102,278,104542,5.0,,Jo-Wilfried Tsonga,R,188.0,FRA,31.7,12.0,2550.0,105723,,,Andrey Kuznetsov,R,185.0,RUS,25.8,46.0,970.0,3,R32,1
